codigo_lista,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
mario_servetto_1,Espátula Rosada,Garza Blanca Grande,Hornero,Pirincho,Carpintero Nuca Roja,Cuervillo Cara Pelada,Playerito Canela,Chorlo Pampa,Benteveo,Carpintero de Campo
mario_servetto_2,Tordo Común,Hornero,Cotorra,Chajá,Tero,Pico de Plata,Paloma Ala Manchada,Golondrina Azul Chica,Dorado,Golondrina Azul Grande
mario_servetto_3,Golondrina Parda Grande,Pecho amarillo,Tero,Fío-fío Pico Corto,Torcaza,Golondrina Azul Grande,Chingolo,Misto,Churrinche,Tijereta
mario_servetto_4,Cardenal Copete Rojo,Paloma de Monte,Ratonera,Benteveo Real,Pitiayumí,Tiqui tiqui,Viudita Blanca Chica,Cuervillo de Cañada,Playerito Pecho Gris,Ñandú
mario_servetto_5,Pato Cara Blanca,Tero,Benteveo,Cuervillo De Cañada,Cigüeña Común,Churrinche,Garza Blanca Chica,Cachirla Chica,Pato Brasilero,Becasina Común
mario_servetto_6,Bandurria Mora,Playerito Pecho Gris,Golondrina Tijereta,Cigüeña Cabeza Pelada,Biguá,Carancho,Golondrina Ceja Blanca,Playerito menor,Estornino,Músico
mario_servetto_7,Cabecitanegra,Jacana,Cachirla Uña Larga,Cardenal Copete Rojo,,,,,,
oscarb_ferrer_1,Estornino,Cardenal Azul,Churrinche,Cotorra,Torcaza,Tordo Común,Cachirla Chica,Tero,Cuervo Cabeza Roja,Chajá
oscarb_ferrer_2,Chorlo Pampa,Cigüeña Común,Águila Colorada,Tijereta,Cotorra,Garza Bueyera,Torcaza,Chimango,Carpintero de Campo,Calandria
oscarb_ferrer_3,Golondrina Parda,Benteveo,Halconcito,Pecho Amarillo,Hornero,Golondrina Ceja Blanca,Dorado,Cuervillo de Cañada,,
oscar_ferrer_a_1,Paloma Ala Manchada,Paloma De Monte,Pirincho,Verdón,Biguá,Cuervillo Cara Pelada,Tero,Benteveo,Hornero,Cachirla Chica
oscar_ferrer_a_2,Bandurria Mora,Tero,Chorlo Pampa,Hornero,Picabuey,Cigüeña Cabeza Pelada,Golondrina Azul Chica,Golondrina Azul Grande,Garza Blanca Chica,Cachirla Chica
oscar_ferrer_a_3,Gaviota Cocinera,Cuervillo De Cañada,Tero,Carpintero de Campo,Garza Blanca Grande,Pato Barcino,Pato Capuchino,Playerito Menor,Garza Bueyera,Chimango
oscar_ferrer_a_4,Tero Real,Cuervillo Cara Pelada,Playerito Pecho Gris,Cotorra,Tero,Gavilán Alilargo,Chorlo Pampa,Dorado,Viudita Blanca Chica,Espinero
