Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Pato Capuchino (Spatula versicolor),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Pato Barcino (Anas flavirostris),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Paloma de Monte (Patagioenas picazuro),5,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Paloma Ala Manchada (Patagioenas maculosa),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Torcaza (Zenaida auriculata),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Carao (Aramus guarauna),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Tero Real (Himantopus mexicanus),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Chorlo Dorado (Pluvialis dominica),15,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Tero (Vanellus chilensis),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Playero Menor Patas Amarillas (Tringa flavipes),8,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Playero Mayor Patas Amarillas (Tringa melanoleuca),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Playerito Pecho Gris (Calidris melanotos),5,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Gaviota Cocinera (Larus dominicanus),5,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Biguá (Nannopterum brasilianum),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Cuervillo de Cañada (Plegadis chihi),11,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),30,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Bandurria Mora (Theristicus caerulescens),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Espátula Rosada (Platalea ajaja),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Garza Blanca Chica (Egretta thula),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Garza Bueyera (Ardea ibis),6,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Garza Blanca Grande (Ardea alba),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Gavilán Alilargo (Circus buffoni),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Caracolero (Rostrhamus sociabilis),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Lechucita de Campo (Athene cunicularia),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Carpintero de Campo (Colaptes campestris),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Chimango (Daptrius chimango),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Cotorra (Myiopsitta monachus),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Hornero (Furnarius rufus),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Espinero (Anumbius annumbi),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Viudita Blanca Común (Xolmis irupero),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Picabuey (Machetornis rixosa),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Benteveo (Pitangus sulphuratus),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Golondrina Azul Grande (Progne chalybea),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Golondrina Parda Grande (Progne tapera),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Golondrina Azul Chica (Pygochelidon cyanoleuca),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Cachirla Chica (Anthus chii),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Cachirla Común (Anthus furcatus),3,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Tordo Común (Molothrus bonariensis),4,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Federal (Amblyramphus holosericeus),1,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Pecho Amarillo (Pseudoleistes virescens),8,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
Dorado (Sicalis flaveola),2,"Ruta 10-Juan Diaz de Solis, Departamento de Rocha, UY (-34.339, -53.837)",Con Desplazamiento,19-dic-2024,6:07,"2 hora(s), 13 minuto(s)",3.69 kilómetro(s),,,4,true,41 especies,
