Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Martineta (Rhynchotus rufescens),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Perdiz (Nothura maculosa),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Chajá (Chauna torquata),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pato Cara Blanca (Dendrocygna viduata),3,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pato Brasilero (Amazonetta brasiliensis),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pato Capuchino (Spatula versicolor),3,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pato Barcino (Anas flavirostris),8,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Paloma de Monte (Patagioenas picazuro),10,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Paloma Ala Manchada (Patagioenas maculosa),6,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Torcacita Común (Columbina picui),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Paloma Montaraz Común (Leptotila verreauxi),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Torcaza (Zenaida auriculata),3,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pirincho (Guira guira),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
