Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Ñandú (Rhea americana),6,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Chajá (Chauna torquata),8,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pato Cara Blanca (Dendrocygna viduata),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pato Brasilero (Amazonetta brasiliensis),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Paloma de Monte (Patagioenas picazuro),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Paloma Ala Manchada (Patagioenas maculosa),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Torcaza (Zenaida auriculata),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pirincho (Guira guira),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Chorlo Dorado (Pluvialis dominica),8,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Tero (Vanellus chilensis),11,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Becasina Común (Gallinago paraguaiae),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Playerito Canela (Calidris subruficollis),25,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Playerito Pecho Gris (Calidris melanotos),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cigüeña Común (Ciconia maguari),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Biguá (Nannopterum brasilianum),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cuervillo de Cañada (Plegadis chihi),5,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),5,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Bandurria Mora (Theristicus caerulescens),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Espátula Rosada (Platalea ajaja),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Garza Blanca Chica (Egretta thula),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Garza Blanca Grande (Ardea alba),6,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Carpintero Nuca Roja (Colaptes melanochloros),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Carpintero de Campo (Colaptes campestris),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Carancho (Caracara plancus),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cotorra (Myiopsitta monachus),6,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Hornero (Furnarius rufus),8,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
