Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),3,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Tero Real (Himantopus mexicanus),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Tero (Vanellus chilensis),3,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Cigüeña Cabeza Pelada (Mycteria americana),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),8,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Bandurria Mora (Theristicus caerulescens),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Espátula Rosada (Platalea ajaja),5,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Garza Mora (Ardea cocoi),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Pico de Plata (Hymenops perspicillatus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
Benteveo (Pitangus sulphuratus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,07:11 PM,13 minuto(s),0.284 kilómetro(s),,,4,true,10 especies,
