Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chorlo Dorado (Pluvialis dominica),8,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Playerito Canela (Calidris subruficollis),6,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Cigüeña Cabeza Pelada (Mycteria americana),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),40,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Junquero (Phleocryptes melanops),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Pico de Plata (Hymenops perspicillatus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Vinchero (Satrapa icterophrys),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Golondrina Ceja Blanca (Tachycineta leucorrhoa),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Federal (Amblyramphus holosericeus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
Pecho Amarillo (Pseudoleistes virescens),4,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,06:47 PM,11 minuto(s),0.313 kilómetro(s),,,1,true,10 especies,
