Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Paloma de Monte (Patagioenas picazuro),4,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Torcaza (Zenaida auriculata),4,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Chorlo Dorado (Pluvialis dominica),12,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Tero (Vanellus chilensis),7,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Playero Menor Patas Amarillas (Tringa flavipes),5,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Playerito Pico Fino (Calidris bairdii),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Cigüeña Común (Ciconia maguari),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Garza Bueyera (Ardea ibis),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Cuervo Cabeza Roja (Cathartes aura),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Águila Colorada (Buteogallus meridionalis),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Carpintero de Campo (Colaptes campestris),7,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Chimango (Daptrius chimango),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Halconcito (Falco sparverius),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Cotorra (Myiopsitta monachus),30,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Hornero (Furnarius rufus),3,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Churrinche (Pyrocephalus rubinus),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Viudita Blanca Común (Xolmis irupero),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Escarchero (Nengetus cinereus),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Benteveo (Pitangus sulphuratus),3,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Tijereta (Tyrannus savana),2,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Golondrina Ceja Blanca (Tachycineta leucorrhoa),3,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Golondrina Parda Grande (Progne tapera),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Golondrina Azul Chica (Pygochelidon cyanoleuca),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Ratonera (Troglodytes musculus),1,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
Estornino Pinto (Sturnus vulgaris),100,"Vía Sin Nombre, Departamento de Rocha, UY (-34.31, -53.849)",Con Desplazamiento,18-dic-2024,9:47,"1 hora(s), 45 minuto(s)",2.97 kilómetro(s),,,4,true,34 especies,
