Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Perdiz (Nothura maculosa),3,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Chajá (Chauna torquata),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Ganso Común (Doméstico) (Anser anser (Domestic type)),14,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cisne Cuello Negro (Cygnus melancoryphus),150,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Coscoroba (Coscoroba coscoroba),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Pato Brasilero (Amazonetta brasiliensis),4,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Pato Capuchino (Spatula versicolor),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Pato Barcino (Anas flavirostris),8,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Paloma de Monte (Patagioenas picazuro),3,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Paloma Ala Manchada (Patagioenas maculosa),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
