Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),3,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Paloma de Monte (Patagioenas picazuro),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Torcaza (Zenaida auriculata),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Pirincho (Guira guira),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Chorlo Dorado (Pluvialis dominica),4,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Tero (Vanellus chilensis),4,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Playerito Canela (Calidris subruficollis),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Caracolero (Rostrhamus sociabilis),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Águila Colorada (Buteogallus meridionalis),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
Gavilán Común (Rupornis magnirostris),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,8:41,1 hora(s),1.38 kilómetro(s),,,5,true,27 especies,
