Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Ñandú (Rhea americana),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Perdiz (Nothura maculosa),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Chajá (Chauna torquata),3,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Pato Cara Blanca (Dendrocygna viduata),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Pato Brasilero (Amazonetta brasiliensis),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Pato Barcino (Anas flavirostris),9,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Paloma de Monte (Patagioenas picazuro),3,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Paloma Ala Manchada (Patagioenas maculosa),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Torcacita Común (Columbina picui),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Torcaza (Zenaida auriculata),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
