Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Ñandú (Rhea americana),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Chajá (Chauna torquata),6,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pato Cara Blanca (Dendrocygna viduata),9,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Coscoroba (Coscoroba coscoroba),3,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pato Brasilero (Amazonetta brasiliensis),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pato Barcino (Anas flavirostris),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Paloma de Monte (Patagioenas picazuro),4,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Paloma Montaraz Común (Leptotila verreauxi),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Torcaza (Zenaida auriculata),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Picaflor Verde (Chlorostilbon lucidus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Picaflor Bronceado (Hylocharis chrysura),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Gallineta Grande (Aramides ypecaha),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Carao (Aramus guarauna),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Chorlo Dorado (Pluvialis dominica),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
