Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),12,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Paloma de Monte (Patagioenas picazuro),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Torcaza (Zenaida auriculata),3,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Picaflor Bronceado (Hylocharis chrysura),1,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Chorlo Dorado (Pluvialis dominica),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Tero (Vanellus chilensis),25,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Playerito Canela (Calidris subruficollis),20,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Cigüeña Cabeza Pelada (Mycteria americana),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Biguá (Nannopterum brasilianum),1,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Cuervillo de Cañada (Plegadis chihi),6,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Caracolero (Rostrhamus sociabilis),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Carpintero Nuca Roja (Colaptes melanochloros),4,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Carpintero de Campo (Colaptes campestris),3,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Carancho (Caracara plancus),3,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Chimango (Daptrius chimango),6,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Cotorra (Myiopsitta monachus),13,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Hornero (Furnarius rufus),9,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Tiotío Común (Phacellodomus striaticollis),4,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Fiofío Pico Corto (Elaenia parvirostris),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Churrinche (Pyrocephalus rubinus),4,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Pico de Plata (Hymenops perspicillatus),6,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Vinchero (Satrapa icterophrys),1,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Viudita Blanca Común (Xolmis irupero),1,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Picabuey (Machetornis rixosa),1,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Benteveo (Pitangus sulphuratus),13,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Benteveo Real (Tyrannus melancholicus),3,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Tijereta (Tyrannus savana),4,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
Juan Chiviro (Cyclarhis gujanensis),2,Laguna de Castillos--Área general,Con Desplazamiento,13/01/2025,06:23 AM,"3 hora(s), 18 minuto(s)",4.446 kilómetro(s),,,5,true,45 especies,
