propietario,nombre_comun,nombre_cientifico,orden,familia,codigo
barra_grande1,Martineta,Rhynchotus rufescens,Struthioniformes,Tinamidae,LC
barra_grande1,Perdiz,Nothura maculosa,Struthioniformes,Tinamidae,LC
barra_grande1,Chajá,Chauna torquata,Anseriformes,Anhimidae,LC
barra_grande1,Pato Cara Blanca,Dendrocygna viduata,Anseriformes,Anatidae,LC
barra_grande1,Pato Brasilero,Amazonetta brasiliensis,Anseriformes,Anatidae,LC
barra_grande1,Pato Capuchino,Spatula versicolor,Anseriformes,Anatidae,LC
barra_grande1,Pato Barcino,Anas flavirostris,Anseriformes,Anatidae,LC
barra_grande1,Paloma de Monte,Patagioenas picazuro,Columbiformes,Columbidae,LC
barra_grande1,Paloma Ala Manchada,Patagioenas maculosa,Columbiformes,Columbidae,LC
barra_grande1,Torcacita Común,Columbina picui,Columbiformes,Columbidae,LC
barra_grande1,Paloma Montaraz Común,Leptotila verreauxi,Columbiformes,Columbidae,LC
barra_grande1,Torcaza,Zenaida auriculata,Columbiformes,Columbidae,LC
barra_grande1,Pirincho,Guira guira,Cuculiformes,Cuculidae,LC
barra_grande1,Picaflor Verde,Chlorostilbon lucidus,Caprimulgiformes,Trochilidae,LC
barra_grande1,Picaflor Bronceado,Hylocharis chrysura,Caprimulgiformes,Trochilidae,LC
barra_grande1,Carao,Aramus guarauna,Gruiformes,Aramidae,LC
barra_grande1,Tero Real,Himantopus mexicanus,NA,NA,NA
barra_grande1,Tero,Vanellus chilensis,Charadriiformes,Charadriidae,LC
barra_grande1,Becasina Común,Gallinago paraguaiae,Charadriiformes,Scolopacidae,LC
barra_grande1,Playero Menor Patas Amarillas,Tringa flavipes,Charadriiformes,Scolopacidae,VU
barra_grande1,Playero Mayor Patas Amarillas,Tringa melanoleuca,Charadriiformes,Scolopacidae,NT
barra_grande1,Playerito Pecho Gris,Calidris melanotos,Charadriiformes,Scolopacidae,LC
barra_grande1,Gaviotín Real,Thalasseus maximus,Charadriiformes,Laridae,LC
barra_grande1,Cigüeña Común,Ciconia maguari,Ciconiiformes,Ciconiidae,LC
barra_grande1,Biguá,Nannopterum brasilianum,Suliformes,Phalacrocoracidae,LC
barra_grande1,Cuervillo de Cañada,Plegadis chihi,Pelecaniformes,Threskiornithidae,LC
barra_grande1,Cuervillo Cara Pelada,Phimosus infuscatus,Pelecaniformes,Threskiornithidae,LC
barra_grande1,Espátula Rosada,Platalea ajaja,Pelecaniformes,Threskiornithidae,LC
barra_grande1,Garza Bruja,Nycticorax nycticorax,Pelecaniformes,Ardeidae,LC
barra_grande1,Garza Amarilla,Syrigma sibilatrix,Pelecaniformes,Ardeidae,LC
barra_grande1,Garza Blanca Chica,Egretta thula,Pelecaniformes,Ardeidae,LC
barra_grande1,Garcita Azulada,Butorides striata,Pelecaniformes,Ardeidae,LC
barra_grande1,Garza Blanca Grande,Ardea alba,Pelecaniformes,Ardeidae,LC
barra_grande1,Garza Mora,Ardea cocoi,Pelecaniformes,Ardeidae,LC
barra_grande1,Cuervo Cabeza Negra,Coragyps atratus,Cathartiformes,Cathartidae,LC
barra_grande1,Cuervo Cabeza Roja,Cathartes aura,Cathartiformes,Cathartidae,LC
barra_grande1,Gavilán Ceniciento,Circus cinereus,Accipitriformes,Accipitridae,LC
barra_grande1,Caracolero,Rostrhamus sociabilis,Accipitriformes,Accipitridae,LC
barra_grande1,Águila Colorada,Buteogallus meridionalis,Accipitriformes,Accipitridae,LC
barra_grande1,Gavilán Común,Rupornis magnirostris,Accipitriformes,Accipitridae,LC
barra_grande1,Martín Pescador Mediano,Chloroceryle amazona,Coraciiformes,Alcedinidae,LC
